company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised,Domain Name,,
Polygon,Bengaluru,Crypto,30,0.2,2/21/2023,Unknown,India,451,Web Development,,
MyGate,Bengaluru,Other,60,0.3,2/20/2023,Series B,India,79,Web Development,,
PhableCare,Bengaluru,Healthcare,0,0.7,2/14/2023,Series B,India,40,Web Development,,
TikTok India,Mumbai,Consumer,12,,2/10/2023,Acquired,India,9400,Web Development,,0.3
WeTrade,Bengaluru,Crypto,0,1,2/9/2023,Unknown,India,,Web Development,,
Pocket Aces,Mumbai,Media,15,0.25,2/6/2023,Unknown,India,19,Web Development,,
FarEye,New Delhi,Logistics,27,,2/3/2023,Series E,India,150,Web Development,,
Byju's,Bengaluru,Education,450,,2/2/2023,Private Equity,India,5500,Web Development,,
DealShare,Bengaluru,Retail,30,0.06,1/27/2023,Series E,India,390,Web Development,,
Inmobi,Bengaluru,Marketing,15,,1/23/2023,Unknown,India,320,Web Development,,
Camp K12,Gurugram,Education,0,0.7,1/23/2023,Series A,India,16,Web Development,,
Swiggy,Bengaluru,Food,114,0.06,1/20/2023,Unknown,India,3600,Web Development,,
MediBuddy,Bengaluru,Healthcare,60,,1/20/2023,Acquired,India,192,Web Development,,
Exotel,Bengaluru,Support,41,0.15,1/17/2023,Series D,India,87,Web Development,,
GoMechanic,Gurugram,Transportation,0,0.7,1/17/2023,Series C,India,54,Web Development,,
ShareChat,Bengaluru,Consumer,150,0.2,1/16/2023,Series H,India,1700,Web Development,,
Gramophone,Indore,Food,22,,1/16/2023,Series B,India,17,Web Development,,
Dunzo,Bengaluru,Food,0,0.03,1/16/2023,Unknown,India,382,Web Development,,
Rebel Foods,Mumbai,Food,0,0.02,1/16/2023,Unknown,India,548,Web Development,,
Captain Fresh ,Bengaluru,Food,36,,1/15/2023,Series C,India,126,Web Development,,
BharatAgri,Mumbai,Food,12,0.43,1/15/2023,Series A,India,21,Web Development,,
DeHaat,Patna,Food,0,0.05,1/15/2023,Series E,India,254,Web Development,,
Ola,Bengaluru,Transportation,60,,1/13/2023,Series J,India,5000,Web Development,,
Skit.ai,Bengaluru,Support,33,,1/12/2023,Series B,India,28,Web Development,,
Cashfree Payments,Bengaluru,Finance,30,,1/12/2023,Series B,India,41,Web Development,,
CoinDCX,Mumbai,Crypto,24,,1/11/2023,Series D,India,244,Web Development,,
LEAD,Mumbai,Education,18,,1/10/2023,Series E,India,190,Web Development,,
Relevel,Bengaluru,HR,12,0.2,1/10/2023,,India,,Web Development,,
