date,total_laid_off
2023-02-01,594
2023-01-01,700
2022-12-01,446
2022-11-01,281
2022-10-01,885
2022-09-01,132
2022-08-01,156
2022-07-01,375
2022-06-01,679
2022-05-01,634
2022-04-01,345
2022-03-01,249
2022-02-01,54
2022-01-01,0
2021-12-01,0
2021-11-01,0
2021-10-01,0
2021-09-01,0
2021-08-01,0
2021-07-01,24
2021-06-01,0
2021-05-01,0
2021-04-01,0
2021-03-01,0
2021-02-01,120
2021-01-01,1080
2020-12-01,180
2020-11-01,0
2020-10-01,75
2020-09-01,0
2020-08-01,105
2020-07-01,195
2020-06-01,606
2020-05-01,1909
2020-04-01,616
2020-03-01,195
