Date,Layoffs
01-03-2020,195
01-04-2020,616
01-05-2020,1909
01-06-2020,606
01-07-2020,195
01-08-2020,105
01-09-2020,0
01-10-2020,75
01-11-2020,0
01-12-2020,180
01-01-2021,1080
01-02-2021,120
01-03-2021,0
01-04-2021,0
01-05-2021,0
01-06-2021,0
01-07-2021,24
01-08-2021,0
01-09-2021,0
01-10-2021,0
01-11-2021,0
01-12-2021,0
01-01-2022,0
01-02-2022,54
01-03-2022,249
01-04-2022,345
01-05-2022,634
01-06-2022,679
01-07-2022,375
01-08-2022,156
01-09-2022,132
01-10-2022,885
01-11-2022,281
01-12-2022,446
01-01-2023,700
01-02-2023,594
