Date,Layoffs
01-03-2020,196
01-04-2020,637
01-05-2020,685
01-06-2020,617
01-07-2020,205
01-08-2020,161
01-09-2020,134
01-10-2020,115
01-11-2020,279
01-12-2020,181
01-01-2021,108
01-02-2021,309
01-03-2021,455
01-04-2021,208
01-05-2021,409
01-06-2021,187
01-07-2021,322
01-08-2021,722
01-09-2021,235
01-10-2021,143
01-11-2021,439
01-12-2021,324
01-01-2022,298
01-02-2022,107
01-03-2022,690
01-04-2022,911
01-05-2022,490
01-06-2022,209
01-07-2022,307
01-08-2022,199
01-09-2022,121
01-10-2022,489
01-11-2022,254
01-12-2022,433
01-01-2023,349
