Date,Layoffs
Mar-20,36
Mar-20,61
Mar-20,75
Mar-20,24
Apr-20,13
Apr-20,12
Apr-20,2
Apr-20,1
Apr-20,61
Apr-20,61
Apr-20,18
Apr-20,61
Apr-20,241
Apr-20,151
May-20,1
May-20,241
May-20,156
May-20,151
May-20,75
May-20,331
May-20,31
May-20,135
May-20,421
May-20,31.3
May-20,21
May-20,61
May-20,181
May-20,81
Jun-20,115
Jun-20,451
Jun-20,12
Jun-20,39
Jul-20,12
Jul-20,42
Jul-20,36
Jul-20,115
Aug-20,115
Oct-20,75
Dec-20,181
Jan-21,541
Jan-21,541
Feb-21,61
Feb-21,61
Jul-21,24
Feb-22,45
Feb-22,9
Mar-22,91
Mar-22,54
Mar-22,115
Apr-22,311
Apr-22,45
May-22,61
May-22,127
May-22,181
May-22,181
May-22,43
May-22,12
May-22,31
Jun-22,31
Jun-22,42
Jun-22,12
Jun-22,54
Jun-22,75
Jun-22,15
Jun-22,12
Jun-22,45
Jun-22,57
Jun-22,24
Jun-22,1
Jun-22,54
Jun-22,91
Jun-22,1
Jun-22,115
Jun-22,12
Jun-22,51
Jul-22,45
Jul-22,31
Jul-22,1
Jul-22,311
Aug-22,1
Aug-22,31
Aug-22,1
Aug-22,24
Aug-22,1
Aug-22,91
Aug-22,12
Sep-22,15
Sep-22,1
Sep-22,57
Sep-22,61
Oct-22,18
Oct-22,751
Oct-22,39
Oct-22,1
Oct-22,9
Oct-22,1
Oct-22,7
Nov-22,115
Nov-22,1
Nov-22,115
Nov-22,11
Nov-22,8
Nov-22,31
Nov-22,45
Nov-22,61
Nov-22,13
Dec-22,31
Dec-22,181
Dec-22,45
Dec-22,115
Dec-22,75
Dec-22,1
Jan-23,18
Jan-23,7
Jan-23,12
Jan-23,18
Jan-23,12
Jan-23,24
Jan-23,33
Jan-23,31
Jan-23,61
Jan-23,36
Jan-23,12
Jan-23,1
Jan-23,151
Jan-23,22
Jan-23,1
Jan-23,1
Jan-23,41
Jan-23,1
Jan-23,114
Jan-23,61
Jan-23,15
Jan-23,1
Jan-23,31
Feb-23,451
Feb-23,27
Feb-23,15
Feb-23,1
Feb-23,12
Feb-23,1
Feb-23,61
Feb-23,31
